
		Copies and Copyright-Notice

User is not entitled to change or erase data sets of the RegulonDB
database or to eliminate copyright notices from RegulonDB. Furthermore,
User is not entitled to expand RegulonDB or to integrate RegulonDB partly
or as a whole into other databank systems, without prior written consent
from CCG-UNAM.

Citation

User is committed to cite properly the use of RegulonDB. The current most
update publication concerning RegulonDB is:
Socorro Gama-Castro, Verónica Jiménez-Jacinto, Martin Peralta-Gil,
Alberto Santos-Zavaleta, Monica I. Peñaloza-Spindola, Bruno Contreras-Moreira,
Juan Segura-Salazar, Luis Muñiz-Rascado, Irma Martínez-Flores, Heladia Salgado,
César Bonavides-Martínez, Cei Abreu-Goodger, Carlos Rodriguez-Penagos, Juan Miranda-Rios,
Enrique Morett, Enrique Merino, Araceli M. Huerta, Luis Treviño-Quintanilla and Julio Collado-Vides.
"RegulonDB (Version 6.0): gene regulation model of Escherichia coli K-12 
beyond transcription, active (experimental) annotated promoters and textpresso navigation"
Nucleic Acids Research, 2008, vol 36.  D120-D124

Release: 6.3 Date: 30-JAN-09
_________________________________________________________________________________

Columns:
	(1) Gene identifier assigned by RegulonDB
	(2) Gene name 
	(3) Blattner number (bnumber) of the gene
	(4) Gene left end position in the genome
	(5) Gene right end position in the genome
	(6) DNA strand where the gene is coded
	(7) Product name of the gene
ECK120000149	moeA	b0827	864352	865587	reverse	molybdopterin biosynthesis
ECK120002269	iaaA	b0828	865791	866756	forward	asparaginase III
ECK120003029	gsiA	b0829	866776	868614	forward	GsiA
ECK120003030	gsiB	b0830	868634	870172	forward	GsiB
ECK120003031	gsiC	b0831	870190	871110	forward	GsiC
ECK120003032	gsiD	b0832	871113	872024	forward	GsiD
ECK120003033	yliE	b0833	872202	874550	forward	conserved inner membrane protein
ECK120003034	yliF	b0834	874558	875886	forward	putative lipoprotein
ECK120003035	rimO	b0835	875933	877258	reverse	ribosomal protein S12 D88 methylthiotransferase
ECK120003036	bssR	b0836	877471	877854	forward	regulator of biofilm formation
ECK120003037	yliI	b0837	877965	879080	forward	aldose sugar dehydrogenase
ECK120003038	yliJ	b0838	879077	879703	reverse	predicted glutathione S-transferase
ECK120000197	dacC	b0839	879950	881152	forward	penicillin-binding protein 6
ECK120000217	deoR	b0840	881199	881957	reverse	DeoR transcriptional repressor
ECK120003039	ybjG	b0841	882015	882611	reverse	undecaprenyl pyrophosphate phosphatase
ECK120003040	cmr	b0842	882896	884128	forward	MdfA/Cmr MFS multidrug transporter
ECK120003041	ybjH	b0843	884169	884453	reverse	predicted protein
ECK120003042	ybjI	b0844	884539	885354	reverse	FMN phosphatase
ECK120003043	ybjJ	b0845	885354	886562	reverse	predicted transporter
ECK120003044	ybjK	b0846	886646	887182	forward	predicted DNA-binding transcriptional regulator
ECK120002591	rybB	b4417	887200	887280	reverse	RybB small RNA
ECK120003045	ybjL	b0847	887357	889042	reverse	predicted transporter
ECK120003046	ybjM	b0848	889312	889689	forward	predicted inner membrane protein
ECK120000410	grxA	b0849	889719	889976	reverse	reduced glutaredoxin 1
ECK120002395	ybjC	b0850	890136	890423	forward	predicted inner membrane protein
ECK120001236	nfsA	b0851	890407	891129	forward	NADPH nitroreductase monomer
ECK120000843	rimK	b0852	891190	892092	forward	ribosomal protein S6 modification protein
ECK120003047	ybjN	b0853	892180	892656	forward	predicted oxidoreductase
ECK120001577	potF	b0854	893007	894119	forward	PotF
ECK120001578	potG	b0855	894214	895347	forward	PotG
ECK120001579	potH	b0856	895357	896310	forward	PotH
ECK120001580	potI	b0857	896307	897152	forward	PotI
ECK120003048	ybjO	b0858	897212	897700	forward	predicted inner membrane protein
ECK120003049	rumB	b0859	897741	898868	forward	23S ribosomal RNA 5-methyluridine methyltransferase
ECK120001576	artJ	b0860	899067	899798	reverse	ArtJ
ECK120001575	artM	b0861	900089	900757	reverse	ArtM
ECK120001574	artQ	b0862	900757	901473	reverse	ArtQ
ECK120001573	artI	b0863	901480	902211	reverse	ArtI
ECK120001572	artP	b0864	902229	902957	reverse	ArtP
ECK120003050	ybjP	b0865	903175	903690	reverse	predicted lipoprotein
ECK120003051	ybjQ	b0866	903816	904139	forward	conserved protein
ECK120003052	amiD	b0867	904136	904966	forward	anhydro-N-acetylmuramoyl-L-alanine amidase
ECK120003053	ybjS	b0868	904963	905976	reverse	predicted NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain
ECK120003054	ybjT	b0869	906075	907505	reverse	conserved protein with NAD(P)-binding Rossmann-fold domain
ECK120003055	ltaE	b0870	907516	908517	reverse	LtaA
ECK120000745	poxB	b0871	908554	910272	reverse	pyruvate oxidase monomer
ECK120003056	hcr	b0872	910405	911373	reverse	NADH oxidoreductase
ECK120003057	hcp	b0873	911385	913037	reverse	hybrid-cluster protein
ECK120003058	ybjE	b0874	913181	914080	reverse	predicted transporter
ECK120002435	aqpZ	b0875	914575	915270	reverse	AqpZ
ECK120003059	ybjD	b0876	915696	917354	forward	conserved protein with a nucleotide triphosphate hydrolase domain
ECK120003060	ybjX	b0877	917351	918343	reverse	conserved protein
ECK120003061	macA	b0878	918458	919573	forward	MacA
ECK120003062	macB	b0879	919570	921516	forward	MacB
ECK120001097	cspD	b0880	921589	921813	reverse	DNA replication inhibitor
ECK120003063	clpS	b0881	922136	922456	forward	specificity factor for ClpA-ClpP chaperone-protease complex
ECK120000152	clpA	b0882	922487	924763	forward	ClpA
ECK120002538	serW	b0883	925107	925194	reverse	tRNA<SUP>serW</SUP>
ECK120000497	infA	b0884	925448	925666	reverse	protein chain initiation factor IF-1
ECK120001098	aat	b0885	925951	926655	reverse	leucyl, phenylalanyl-tRNA-protein transferase
ECK120000010	cydC	b0886	926697	928418	reverse	CydC
ECK120001371	cydD	b0887	928419	930185	reverse	CydD
ECK120001021	trxB	b0888	930308	931273	reverse	thioredoxin reductase monomer
ECK120000540	lrp	b0889	931818	932312	forward	Lrp transcriptional dual regulator
ECK120003064	ftsK	b0890	932447	936436	forward	essential cell division protein FtsK
ECK120003065	lolA	b0891	936592	937206	forward	periplasmic chaperone, effects translocation of lipoproteins from inner membrane to outer
ECK120002355	rarA	b0892	937217	938560	forward	recombination factor
ECK120000936	serS	b0893	938651	939943	forward	seryl-tRNA synthetase
ECK120000226	dmsA	b0894	940182	942626	forward	dimethyl sulfoxide reductase, chain A
ECK120000227	dmsB	b0895	942637	943254	forward	dimethyl sulfoxide reductase, chain B
ECK120000228	dmsC	b0896	943256	944119	forward	dimethyl sulfoxide reductase, chain C
ECK120001218	ycaC	b0897	944154	944780	reverse	predicted hydrolase monomer
ECK120001219	ycaD	b0898	945094	946242	forward	YcaD MFS transporter
ECK120003066	ycaM	b0899	946452	947882	forward	YcaM predicted APC amino acid transporter
ECK120003067	ycaN	b0900	947883	948791	reverse	putative transcriptional regulator LYSR-type
ECK120002361	ycaK	b0901	948891	949481	forward	conserved protein
ECK120000025	pflA	b0902	949563	950303	reverse	pyruvate formate-lyase activating enzyme
ECK120000693	pflB	b0903	950495	952777	reverse	PflB
ECK120001233	focA	b0904	952832	953689	reverse	FocA formate FNT transporter
ECK120003068	ycaO	b0905	954095	955855	reverse	conserved protein
ECK120003069	ycaP	b0906	955985	956677	forward	conserved inner membrane protein
ECK120000935	serC	b0907	956876	957964	forward	SerC
ECK120000069	aroA	b0908	958035	959318	forward	3-phosphoshikimate-1-carboxyvinyltransferase
ECK120003070	ycaL	b0909	959487	960251	forward	putative heat shock protein
ECK120001239	cmk	b0910	960424	961107	forward	cytidylate kinase
ECK120000891	rpsA	b0911	961218	962891	forward	30S ribosomal subunit protein S1
ECK120000434	ihfB	b0912	963051	963335	forward	integration host factor (IHF), &beta; subunit
ECK120002243	ycaI	b0913	963543	965807	forward	conserved inner membrane protein
ECK120000606	msbA	b0914	965844	967592	forward	ATP-binding lipopolysaccharide transport protein
ECK120001375	lpxK	b0915	967589	968575	forward	tetraacyldisaccharide 4'-kinase
ECK120003071	ycaQ	b0916	968612	969844	forward	conserved protein
ECK120003072	ycaR	b0917	969896	970078	forward	conserved protein
ECK120000512	kdsB	b0918	970075	970821	forward	3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase
ECK120003073	ycbJ	b0919	970975	971868	forward	conserved protein
ECK120002062	ycbC	b0920	971845	972624	reverse	conserved inner membrane protein
ECK120002063	smtA	b0921	972760	973545	forward	predicted S-adenosylmethionine-dependent methyltransferase
ECK120002061	mukF	b0922	973542	974864	forward	Ca<sup>2+</sup>-binding protein involved in chromosome partitioning
ECK120001227	mukE	b0923	974872	975549	forward	protein involved in chromosome partitioning
ECK120000611	mukB	b0924	975549	980009	forward	cell division protein involved in chromosome partitioning
ECK120001228	ycbB	b0925	980270	982117	forward	L,D-transpeptidase YcbB
ECK120003074	ycbK	b0926	982298	982846	forward	conserved protein
ECK120003075	ycbL	b0927	982873	983520	forward	predicted metal-binding enzyme
ECK120000092	aspC	b0928	983742	984932	reverse	AspC
ECK120000664	ompF	b0929	985117	986205	reverse	OmpF
ECK120000090	asnS	b0930	986808	988208	reverse	asparaginyl-tRNA synthetase
ECK120000733	pncB	b0931	988377	989579	reverse	nicotinate phosphoribosyltransferase
ECK120000688	pepN	b0932	989845	992457	forward	aminopeptidase N
ECK120002226	ssuB	b0933	992500	993267	reverse	SsuB
ECK120003076	ssuC	b0934	993264	994055	reverse	SsuC
ECK120003077	ssuD	b0935	994066	995211	reverse	SsuD
ECK120003078	ssuA	b0936	995208	996167	reverse	SsuA
ECK120003079	ssuE	b0937	996160	996735	reverse	NAD(P)H-dependent FMN reductase monomer
ECK120003080	ycbQ	b0938	997091	997630	forward	predicted fimbrial-like adhesin protein
ECK120003081	ycbR	b0939	997713	998414	forward	predicted periplasmic pilin chaperone
ECK120003082	ycbS	b0940	998439	1001039	forward	predicted outer membrane usher protein
ECK120003083	ycbT	b0941	1001030	1002100	forward	predicted fimbrial-like adhesin protein
ECK120003084	ycbU	b0942	1002112	1002654	forward	predicted fimbrial-like adhesin protein
ECK120003085	ycbV	b0943	1002662	1003177	forward	predicted fimbrial-like adhesin protein
ECK120002260	ycbF	b0944	1003170	1003880	forward	predicted periplasmic pilin chaperone
ECK120000798	pyrD	b0945	1003991	1005001	forward	PyrD
ECK120003086	ycbW	b0946	1005175	1005717	forward	predicted protein
ECK120003087	ycbX	b0947	1005714	1006823	reverse	protein involved in base analog detoxification
ECK120003088	rlmL	b0948	1007067	1009175	forward	23S rRNA m<sup>2</sup>G2445 methyltransferase
ECK120003089	uup	b0949	1009187	1011094	forward	ATP-binding protein with possible role in replication
ECK120003090	pqiA	b0950	1011224	1012477	forward	paraquat-inducible protein A
ECK120003091	pqiB	b0951	1012482	1014122	forward	paraquat-inducible protein B
ECK120003092	ymbA	b0952	1014134	1014682	forward	conserved protein
ECK120002563	rmf	b0953	1014938	1015105	forward	ribosome modulation factor
ECK120000267	fabA	b0954	1015175	1015693	reverse	FabA
ECK120003093	ycbZ	b0955	1015762	1017522	reverse	putative ATP-dependent protease
ECK120002403	ycbG	b0956	1017708	1018160	forward	putative dehydrogenase
ECK120000662	ompA	b0957	1018236	1019276	reverse	outer membrane protein 3a (II*;G;d)
ECK120000973	sulA	b0958	1019633	1020142	reverse	SOS cell division inhibitor
ECK120003094	sxy	b0959	1020361	1020990	forward	transcriptional coactivator for CRP
ECK120003095	yccS	b0960	1020953	1023106	reverse	predicted inner membrane protein
ECK120003096	yccF	b0961	1023125	1023571	reverse	conserved inner membrane protein
ECK120000419	helD	b0962	1023694	1025748	forward	DNA helicase IV
ECK120003097	mgsA	b0963	1025780	1026238	reverse	methylglyoxal synthase
ECK120003098	yccT	b0964	1026334	1026996	reverse	conserved protein
ECK120003099	yccU	b0965	1027169	1027582	forward	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain
ECK120003100	hspQ	b0966	1027627	1027944	reverse	heat shock protein, hemimethylated DNA-binding protein
ECK120003101	yccW	b0967	1028002	1029105	reverse	predicted methyltransferase
ECK120003102	yccX	b0968	1029287	1029565	forward	acylphosphatase
ECK120002415	yccK	b0969	1029562	1029891	reverse	sulfur transfer protein
ECK120001099	yccA	b0970	1029982	1030641	reverse	putative carrier/transport protein; substrate or modulator of FtsH-mediated proteolysis
ECK120002535	serT	b0971	1030848	1030935	reverse	tRNA<SUP>serT</SUP>
ECK120000461	hyaA	b0972	1031362	1032480	forward	hydrogenase 1, small subunit
ECK120000462	hyaB	b0973	1032477	1034270	forward	hydrogenase 1, large subunit
ECK120000463	hyaC	b0974	1034289	1034996	forward	hydrogenase 1, b-type cytochrome subunit
ECK120000464	hyaD	b0975	1034993	1035580	forward	protein involved in processing of HyaA and HyaB proteins
ECK120000465	hyaE	b0976	1035577	1035975	forward	protein involved in processing of HyaA and HyaB proteins
ECK120000466	hyaF	b0977	1035972	1036829	forward	protein involved in nickel incorporation into hydrogenase 1 proteins
ECK120001348	appC	b0978	1036963	1038507	forward	cytochrome <i>bd</i>-II terminal oxidase subunit I
ECK120001347	appB	b0979	1038519	1039655	forward	cytochrome <i>bd</i>-II terminal oxidase subunit II
ECK120030072	yccB	b4592	1039668	1039760	forward	hypothetical protein
ECK120000045	appA	b0980	1039840	1041138	forward	AppA
ECK120001758	etk	b0981	1041253	1043433	reverse	autophosphorylating protein tyrosine kinase
ECK120003103	etp	b0982	1043453	1043899	reverse	phosphotyrosine-protein phosphatase
ECK120003104	gfcE	b0983	1043887	1045026	reverse	predicted exopolysaccharide export protein
ECK120003105	gfcD	b0984	1045072	1047168	reverse	putative lipoprotein
ECK120003106	gfcC	b0985	1047168	1047914	reverse	conserved protein
ECK120003107	gfcB	b0986	1047911	1048555	reverse	predicted outer membrane lipoprotein
ECK120003108	gfcA	b0987	1048662	1048967	reverse	predicted protein
ECK120023912	insAB-4		1049056	1049754	forward	InsAB' transposase
ECK120016282	insA-4	b4516	1049056	1049331	forward	IS1 protein InsA
ECK120003109	insB-4	b0988	1049250	1049753	forward	IS1 protein InsB
ECK120003110	cspH	b0989	1050186	1050398	reverse	stress protein, member of the CspA family
ECK120003111	cspG	b0990	1050684	1050896	forward	cold shock protein CspG
ECK120003112	ymcE	b0991	1051070	1051300	forward	YmcE
ECK120002666	gnsA	b4517	1051290	1051463	forward	predicted regulator of phosphatidylethanolamine synthesis
ECK120003113	yccM	b0992	1051512	1052585	reverse	predicted 4Fe-4S membrane protein
ECK120003114	torS	b0993	1052657	1055401	reverse	hybrid sensory histidine kinase in two-component regulatory system with TorR
ECK120003115	torT	b0994	1055484	1056512	forward	periplasmic sensory protein associated with the TorRS two-component regulatory system
ECK120002334	torR	b0995	1056485	1057177	reverse	TorR
ECK120001748	torC	b0996	1057307	1058479	forward	TorC trimethylamine N-oxide reductase, cytochrome c-type subunit
ECK120001747	torA	b0997	1058479	1061025	forward	trimethylamine N-oxide reductase, catalytic subunit
ECK120002084	torD	b0998	1061022	1061621	forward	chaperone protein for trimethylamine-N-oxide oxidoreductase I
ECK120002083	cbpM	b0999	1061773	1062078	reverse	chaperone-modulator protein CbpM
ECK120002082	cbpA	b1000	1062078	1062998	reverse	CbpA monomer
ECK120002085	yccE	b1001	1063259	1064515	forward	predicted protein
ECK120000030	agp	b1002	1064808	1066049	forward	Agp
ECK120002362	yccJ	b1003	1066087	1066314	reverse	predicted protein
ECK120001494	wrbA	b1004	1066335	1066931	reverse	WrbA monomer
ECK120003116	ycdF		1067141	1067371	forward	
ECK120016295	ymdF	b4518	1067304	1067477	forward	conserved protein
ECK120003117	rutG	b1006	1067734	1069062	reverse	predicted xanthine/uracil transporter
ECK120003118	rutF	b1007	1069083	1069577	reverse	predicted flavin reductase
ECK120003119	rutE	b1008	1069588	1070178	reverse	predicted nitroreductase
ECK120003120	rutD	b1009	1070188	1070988	reverse	&alpha;/&beta;-hydrolase
ECK120003121	rutC	b1010	1070996	1071382	reverse	predicted endoribonuclease
ECK120003122	rutB	b1011	1071394	1072086	reverse	predicted isochorismatase
ECK120003123	rutA	b1012	1072086	1073234	reverse	predicted coenzyme F<sub>420</sub>-dependent N<sup>5</sup>,N<sup>10</sup>-methylenetetrahydromethanopterin reductase
ECK120002180	rutR	b1013	1073465	1074103	forward	RutR transcriptional dual regulator
ECK120000792	putA	b1014	1074143	1078105	reverse	fused PutA transcriptional repressor / proline dehydrogenase / pyrroline-5-carboxylate dehydrogenase
ECK120000793	putP	b1015	1078528	1080036	forward	PutP proline SSS transporter
ECK120003124	efeU_1	b1016	1080579	1080689	forward	hypothetical protein of the OFeT transport family
ECK120016545	efeU_2		1080677	1081408	forward	
ECK120003125	efeO	b1018	1081466	1082593	forward	conserved protein
ECK120001674	efeB	b1019	1082599	1083870	forward	heme-containing peroxidase
ECK120001673	phoH	b1020	1084215	1085279	forward	ATP-binding protein
ECK120003126	pgaD	b1021	1085329	1085742	reverse	predicted inner membrane protein involved in biofilm formation
ECK120003127	pgaC	b1022	1085744	1087069	reverse	UDP-N-acetyl-D-glucosamine &beta;-1,6-N-acetyl-D-glucosaminyl transferase
ECK120003128	pgaB	b1023	1087062	1089080	reverse	poly-&beta;-1,6-N-acetyl-D-glucosamine N-deacetylase
ECK120003129	pgaA	b1024	1089089	1091512	reverse	partially N-deacetylated poly-&beta;-1,6-N-acetyl-D-glucosamine outer membrane porin
ECK120003130	ycdT	b1025	1092099	1093457	forward	predicted diguanylate cyclase
ECK120003131	insF-4	b1026	1093498	1094364	reverse	
ECK120023910	insEF-4		1093498	1094669	reverse	
ECK120003132	insE-4	b1027	1094361	1094669	reverse	
ECK120003133	ymdE		1094767	1095069	forward	predicted protein
ECK120003134	ycdU	b1029	1095066	1096052	forward	predicted inner membrane protein
ECK120002539	serX	b1032	1096788	1096875	reverse	tRNA<SUP>serX</SUP>
ECK120003135	ghrA	b1033	1097109	1098047	forward	glyoxylate reductase
ECK120003136	ycdX	b1034	1098102	1098839	forward	predicted zinc-binding hydrolase
ECK120003137	ycdY	b1035	1098863	1099417	forward	putative oxidoreductase component
ECK120003138	ycdZ	b1036	1099519	1100010	forward	predicted inner membrane protein
ECK120003139	csgG	b1037	1100074	1100907	reverse	curli production component
ECK120003140	csgF	b1038	1100934	1101350	reverse	curli assembly component
ECK120003141	csgE	b1039	1101375	1101764	reverse	curli production assembly/transport component
ECK120003142	csgD	b1040	1101769	1102419	reverse	CsgD transcriptional dual regulator
ECK120003143	csgB	b1041	1103174	1103629	forward	curlin, minor subunit precursor
ECK120001445	csgA	b1042	1103670	1104125	forward	curlin, major subunit
ECK120003144	csgC	b1043	1104184	1104516	forward	putative curli production protein
ECK120003145	ymdA	b1044	1104637	1104948	forward	predicted protein
ECK120003146	ymdB	b1045	1105043	1105576	forward	conserved protein
ECK120003147	ymdC	b1046	1105578	1106999	forward	predicted hydrolase
ECK120003148	mdoC	b1047	1107007	1108164	reverse	protein required for succinyl modification of osmoregulated periplasmic glucans
ECK120001815	mdoG	b1048	1108558	1110093	forward	periplasmic glucan (MDO) biosynthesis protein
ECK120001816	mdoH	b1049	1110086	1112629	forward	membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO)
ECK120002354	yceK	b1050	1112802	1113029	forward	predicted lipoprotein
ECK120001309	msyB	b1051	1113030	1113404	reverse	acidic protein that suppresses mutants lacking function of protein export
ECK120003149	Phantom Gene		1113434	1113532	reverse	
ECK120001314	mdtG	b1053	1113487	1114713	reverse	YceE drug MFS transporter
ECK120000457	lpxL	b1054	1114885	1115805	reverse	lauroyl acyltransferase
ECK120001100	yceA	b1055	1116030	1117082	forward	conserved protein
ECK120001752	yceI	b1056	1117124	1117699	reverse	predicted protein
ECK120003150	yceJ	b1057	1117703	1118269	reverse	predicted cytochrome b561
ECK120003151	yceO	b1058	1118530	1118670	reverse	predicted protein
ECK120003152	solA	b1059	1118691	1119809	reverse	<I>N</I>-methyltryptophan oxidase
ECK120003153	bssS	b1060	1119924	1120178	reverse	regulator of biofilm formation
ECK120003154	dinI	b1061	1120465	1120710	reverse	DNA damage-inducible protein I
ECK120000797	pyrC	b1062	1120784	1121830	reverse	PyrC
ECK120001101	yceB	b1063	1121936	1122496	reverse	predicted lipoprotein
ECK120002353	grxB	b1064	1122630	1123277	reverse	reduced glutaredoxin 2
ECK120003155	mdtH	b1065	1123341	1124549	reverse	YceL MFS transporter
ECK120000842	rimJ	b1066	1124785	1125369	forward	ribosomal-protein-S5-alanine N-acetyltransferase
ECK120001491	yceH	b1067	1125380	1126027	forward	conserved protein
ECK120003156	yceM	b1068	1126029	1126952	forward	predicted oxidoreductase, NAD(P)-binding Rossmann-fold domain
ECK120003157	yceN	b1069	1127062	1128597	forward	predicted inner membrane protein
ECK120003158	flgN	b1070	1128637	1129053	reverse	flagellar biosynthesis protein FlgN
ECK120002689	flgM	b1071	1129058	1129351	reverse	anti-sigma factor for FliA (sigma 28)
ECK120002678	flgA	b1072	1129427	1130086	reverse	flagellar biosynthesis; assembly of basal-body periplasmic P ring
ECK120002679	flgB	b1073	1130241	1130657	forward	flagellar basal-body rod protein FlgB
ECK120002680	flgC	b1074	1130661	1131065	forward	flagellar basal-body rod protein FlgC
ECK120002682	flgD	b1075	1131077	1131772	forward	flagellar biosynthesis, initiation of hook assembly
ECK120002683	flgE	b1076	1131797	1133005	forward	flagellar hook protein FlgE
ECK120002684	flgF	b1077	1133025	1133780	forward	flagellar basal-body rod protein FlgF
ECK120002685	flgG	b1078	1133952	1134734	forward	flagellar basal-body rod protein FlgG
ECK120002686	flgH	b1079	1134787	1135485	forward	flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein
ECK120002687	flgI	b1080	1135497	1136594	forward	flagellar P-ring protein FlgI
ECK120002688	flgJ	b1081	1136594	1137535	forward	FlgJ
ECK120001893	flgK	b1082	1137601	1139244	forward	flagellar biosynthesis, hook-filament junction protein 1
ECK120001499	flgL	b1083	1139256	1140209	forward	flagellar biosynthesis; hook-filament junction protein
ECK120000850	rne	b1084	1140405	1143590	reverse	RNase E
ECK120003159	yceQ	b1085	1143725	1144045	forward	predicted protein
ECK120001102	rluC	b1086	1144163	1145122	forward	23S rRNA pseudouridine synthase
ECK120001402	yceF	b1087	1145234	1145818	reverse	predicted protein
ECK120002575	psrD	b4418	1145812	1145980	forward	PsrD small RNA
ECK120001103	yceD	b1088	1146017	1146538	forward	conserved protein
ECK120000881	rpmF	b1089	1146590	1146763	forward	50S ribosomal subunit protein L32
ECK120001401	plsX	b1090	1146844	1147914	forward	fatty acid/phospholipid synthesis protein
ECK120000271	fabH	b1091	1147982	1148935	forward	
ECK120001288	fabD	b1092	1148951	1149880	forward	malonyl-CoA-ACP transacylase
ECK120001289	fabG	b1093	1149893	1150627	forward	&beta;-ketoacyl-[acyl-carrier-protein] reductase/&beta;-ketoacyl-[acyl-carrier-protein] reductase
ECK120002562	acpP	b1094	1150838	1151074	forward	apo-[acyl carrier protein]
ECK120002329	fabF	b1095	1151162	1152403	forward	FabF
ECK120001449	pabC	b1096	1152523	1153332	forward	pabC
ECK120001450	yceG	b1097	1153335	1154357	forward	predicted aminodeoxychorismate lyase
ECK120002181	tmk	b1098	1154347	1154988	forward	dTMP kinase
ECK120001456	holB	b1099	1154985	1155989	forward	DNA polymerase III, &delta; prime subunit
ECK120002182	ycfH	b1100	1156000	1156797	forward	predicted metallodependent hydrolase
ECK120000778	ptsG	b1101	1157092	1158525	forward	PtsG
ECK120000300	fhuE	b1102	1158585	1160774	reverse	outer membrane receptor for ferric iron uptake
ECK120002067	hinT	b1103	1161108	1161467	forward	purine nucleoside phosphoramidase
ECK120003160	ycfL	b1104	1161470	1161847	forward	predicted protein
ECK120003161	ycfM	b1105	1161861	1162502	forward	predicted outer membrane lipoprotein
ECK120003162	thiK	b1106	1162483	1163307	forward	thiamin kinase
ECK120003163	nagZ	b1107	1163318	1164343	forward	ENZRXN0-6373/&beta;-N-acetylglucosaminidase
ECK120003164	ycfP	b1108	1164366	1164908	forward	conserved protein
ECK120000642	ndh	b1109	1165308	1166612	forward	NADH:ubiquinone oxidoreductase II
ECK120002297	ycfJ	b1110	1166822	1167361	forward	predicted protein
ECK120003165	ycfQ	b1111	1167423	1168055	reverse	predicted DNA-binding transcriptional regulator
ECK120003166	bhsA	b1112	1168296	1168553	forward	protein involved in stress resistance and biofilm formation
ECK120003167	ycfS	b1113	1168635	1169597	reverse	L,D-transpeptidase YcfS
ECK120001567	mfd	b1114	1169741	1173187	reverse	transcription-repair coupling factor
ECK120003168	ycfT	b1115	1173315	1174388	reverse	putative transport protein
ECK120003169	lolC	b1116	1174650	1175849	forward	LolC
ECK120003170	lolD	b1117	1175842	1176543	forward	LolD
ECK120003171	lolE	b1118	1176543	1177787	forward	LolE
ECK120003172	nagK	b1119	1177816	1178727	forward	N-acetyl-D-glucosamine kinase
ECK120003173	cobB	b1120	1178743	1179582	forward	protein deacetylase, Sir2 homolog
ECK120003174	ycfZ	b1121	1179702	1180490	reverse	predicted inner membrane protein
ECK120003175	ymfA	b1122	1180487	1180948	reverse	predicted inner membrane protein
ECK120000743	potD	b1123	1181006	1182052	reverse	PotD
ECK120000742	potC	b1124	1182049	1182843	reverse	PotC
ECK120000741	potB	b1125	1182840	1183667	reverse	PotB
ECK120000740	potA	b1126	1183681	1184817	reverse	PotA
ECK120001503	pepT	b1127	1185067	1186293	forward	PepT
ECK120001394	ycfD	b1128	1186342	1187463	reverse	conserved protein
ECK120000723	phoQ	b1129	1187539	1188999	reverse	PhoQ
ECK120000722	phoP	b1130	1188999	1189670	reverse	PhoP transcriptional dual regulator
ECK120001285	purB	b1131	1189839	1191209	reverse	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole lyase/adenylosuccinate lyase
ECK120001316	hflD	b1132	1191213	1191854	reverse	predicted lysogenization regulator
ECK120001315	mnmA	b1133	1191890	1192996	reverse	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
ECK120003176	nudJ	b1134	1193050	1193511	reverse	ENZRXN0-6214/HMP-PP hydrolase/thiamin pyrophosphate hydrolase
ECK120003177	rluE	b1135	1193521	1194174	reverse	23S rRNA pseudouridine synthase
ECK120000482	icd	b1136	1194346	1195596	forward	Icd
ECK120002608	C0293		1195937	1196009	forward	C0293 small RNA
ECK120003178	ymfD	b1137	1196090	1196755	reverse	e14 prophage; predicted SAM-dependent methyltransferase
ECK120003179	ymfE	b1138	1196756	1197460	reverse	e14 prophage; predicted inner membrane protein
ECK120000528	lit	b1139	1197918	1198811	forward	Lit, cell death peptidase; phage exclusion; e14 prophage
ECK120002238	intE	b1140	1198902	1200029	reverse	e14 prophage; predicted integrase
ECK120003180	xisE	b1141	1200010	1200255	reverse	e14 prophage; predicted excisionase
ECK120003181	ymfH	b1142	1200292	1200603	reverse	e14 prophage; predicted protein
ECK120003182	ymfI	b1143	1200720	1201061	forward	e14 prophage; predicted protein
ECK120003183	ymfJ	b1144	1200999	1201307	reverse	e14 prophage; predicted protein
ECK120003184	ymfK	b1145	1201482	1202156	reverse	e14 prophage; predicted repressor protein
ECK120003185	ymfT	b1146	1202247	1202447	forward	e14 prophage; predicted DNA-binding transcriptional regulator
ECK120003186	ymfL	b1147	1202479	1203048	forward	e14 prophage; predicted DNA-binding transcriptional regulator
ECK120003187	ymfM	b1148	1203045	1203383	forward	e14 prophage; predicted protein
ECK120003188	ymfN	b1149	1203393	1204760	forward	e14 prophage; predicted DNA-binding transcriptional regulator
ECK120003189	ymfR	b1150	1204772	1204954	forward	e14 prophage; predicted protein
ECK120003190	ymfO	b1151	1204954	1205427	forward	e14 prophage; conserved protein
ECK120003191	ymfP	b1152	1205483	1206145	forward	e14 prophage; conserved protein
ECK120003192	ymfQ	b1153	1206136	1206720	forward	e14 prophage; conserved protein
ECK120002416	ycfK	b1154	1206724	1207353	forward	e14 prophage; predicted protein
